time,value
1618598702698,17735.34
1618599003167,17745.92
1618599302860,17759.94
1618599604261,17784.32
1618599902834,17774.03
1618600203280,17769.010000000002
1618600502986,17774.440000000002
1618600802544,17773.69
1618601103125,17764.47
1618601402694,17769.48
1618601703436,17767.46
1618602002998,17768.67
1618602302546,17756.8
1618602603166,17761.190000000002
1618602902706,17749.6
1618603203236,17750.65
1618603502746,17750.95
1618603803281,17749.3
1618604102745,17741.55
1618604403320,17742.739999999998
1618604702742,17740.4
1618605003212,17740.489999999998
1618605302664,17743.15
1618605603193,17744.09
1618605902781,17746.48
1618606203195,17746.99
1618606502868,17745.04
1618606804307,17744.73
1618607102725,17749.31
1618607403194,17746.9
1618607702679,17747.95
1618608002897,17747.64
1618608303328,17748.91
1618608602738,17747.39
1618608903337,17743.73
1618609202762,17742.5
1618609503286,17742.42
1618609802766,17740.64
1618610103202,17741.88
1618610402776,17743.36
1618610703260,17742.57
1618611002731,17743.27
1618611303188,17743.21
1618611602659,17741.95
1618611903299,17745.24
1618612202710,17742.2
1618612503169,17742
1618612802766,17742.72
1618613103182,17741.239999999998
1618613402694,17740.19
1618613703199,17742.82
1618614002710,17743.25
1618614303224,17742.760000000002
1618614602712,17740.13
1618614903295,17742.48
1618615202881,17743.78
1618615503433,17742.6
1618615803005,17737.73
1618616102448,17731.98
1618616403078,17735.68
1618616702594,17742.14
1618617003154,17733.989999999998
1618617302688,17741.82
1618617603230,17746.510000000002
1618617902738,17746.510000000002
1618618203416,17746.510000000002
1618618502874,17746.510000000002
1618619102512,17746.510000000002
1618619403054,17746.510000000002
1618619702580,17746.510000000002
1618620003164,17746.510000000002
1618620302641,17746.510000000002
1618620603282,17746.510000000002
1618620902764,17746.510000000002
1618819202600,17717.36
1618819503177,17695.86
1618819802695,17705.68
1618820103320,17689.23
1618820402818,17682.489999999998
1618820703296,17688.36
1618821002822,17685.449999999997
1618821303274,17690.28
1618821602772,17697.59
1618821903252,17700.05
1618822202772,17703.75
1618822503347,17694.37
1618822802791,17696.52
1618823103285,17695.77
1618823402822,17681.57
1618823703271,17685.15
1618824002739,17682.07
1618824303239,17687.940000000002
1618824602731,17677.56
1618824903267,17688.510000000002
1618825202721,17688.129999999997
1618825503150,17685.29
1618825802716,17691.86
1618826103282,17698.84
1618826403424,17695.11
1618826702978,17693.24
1618827003500,17689.17
1618827302966,17690.11
1618827603430,17694.46
1618827903001,17685.97
1618828202494,17698.97
1618828503308,17697.059999999998
1618828802811,17673.47
1618829103297,17653.54
1618829402916,17645.489999999998
1618829703369,17652.550000000003
1618830002951,17678.1
1618830303398,17643.65
1618830602858,17653.04
1618830903323,17647.22
1618831202972,17638.76
1618831503454,17638.91
1618831802901,17623.64
1618832102584,17617.239999999998
1618832403062,17619.23
1618832702499,17612.02
1618833003037,17603.11
1618833302494,17594.43
1618833603010,17599.33
1618833902614,17591.97
1618834203100,17583.870000000003
1618834502580,17579.38
1618834803122,17600.66
1618835102593,17595.19
1618835403088,17593.19
1618835702538,17588.14
1618836003079,17588.14
1618836302655,17579.739999999998
1618836603114,17583.71
1618836902616,17597.81
1618837203144,17590
1618837502653,17590.51
1618837803150,17592.64
